user_id,upgraded,upgrade_date,days_to_upgrade,signup_date,last_active_date,days_alive,num_sessions,avg_session_length_minutes,total_session_length_minutes,avg_days_between_sessions,num_repeated_session_days,days_first_feature_after_signup,first_feature_used,last_feature_used,using_top_features,num_top_feature_sessions,features_before_upgrade,features_after_upgrade,num_repeated_features,days_since_last_activity,pred_churn_90,actual_cancelled,last_active_quarter,churn_90d,days_to_upgrade_filled,unique_features_count
user_0048,False,,,2023-06-25 00:00:00+00:00,2023-11-07 00:00:00+00:00,135,11,22.956363636363637,252.52,10.7,1,12,calendar_view,task_create,True,9,,,2,170,True,True,2023Q4,True,-1.0,5
user_0049,True,2023-06-25 00:00:00+00:00,6.0,2023-06-19 00:00:00+00:00,2023-10-31 00:00:00+00:00,134,6,32.605,195.63,18.6,0,9,comment,task_edit,True,4,,"comment,task_create,task_edit",3,177,True,True,2023Q4,True,6.0,3
user_0050,False,,,2023-09-10 00:00:00+00:00,2023-12-13 00:00:00+00:00,94,11,32.52818181818182,357.81,11.1,0,0,file_upload,task_create,True,10,,,3,134,True,True,2023Q4,True,-1.0,4
user_0051,False,,,2023-07-22 00:00:00+00:00,2023-09-07 00:00:00+00:00,47,11,7.52,82.72,9.7,2,11,file_upload,task_edit,True,7,,,4,231,True,True,2023Q3,True,-1.0,4
user_0052,True,2023-10-28 00:00:00+00:00,46.0,2023-09-12 00:00:00+00:00,2023-12-26 00:00:00+00:00,105,4,19.005,76.02,36.0,0,6,file_upload,calendar_view,True,3,file_upload,"calendar_view,comment,task_create",0,121,True,True,2023Q4,True,46.0,4
user_0053,False,,,2023-09-04 00:00:00+00:00,2023-10-31 00:00:00+00:00,57,9,19.805555555555557,178.25,9.75,1,22,comment,file_upload,True,6,,,3,177,True,True,2023Q4,True,-1.0,4
user_0054,False,,,2023-10-11 00:00:00+00:00,2024-01-23 00:00:00+00:00,104,12,29.9225,359.07,8.545454545454545,0,10,task_create,task_edit,True,7,,,3,93,True,False,2024Q1,True,-1.0,5
user_0055,False,,,2023-07-15 00:00:00+00:00,2023-08-30 00:00:00+00:00,46,6,10.479999999999999,62.879999999999995,11.4,0,61,file_upload,file_upload,True,5,,,1,239,True,True,2023Q3,True,-1.0,2
user_0056,False,,,2023-09-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,91,8,15.06125,120.49,15.571428571428571,0,1,calendar_view,task_create,True,4,,,4,136,True,True,2023Q4,True,-1.0,4
user_0057,False,,,2023-03-14 00:00:00+00:00,2023-05-30 00:00:00+00:00,77,18,18.931666666666665,340.77,6.705882352941177,2,2,task_create,task_create,True,11,,,5,331,True,True,2023Q2,True,-1.0,5
user_0058,False,,,2023-09-17 00:00:00+00:00,2023-11-16 00:00:00+00:00,60,6,8.248333333333333,49.49,14.8,1,2,file_upload,comment,True,5,,,2,161,True,True,2023Q4,True,-1.0,4
user_0059,False,,,2023-04-09 00:00:00+00:00,2023-07-23 00:00:00+00:00,105,7,25.892857142857142,181.25,11.333333333333334,0,24,task_create,file_upload,True,5,,,2,277,True,True,2023Q3,True,-1.0,5
user_0060,False,,,2023-05-03 00:00:00+00:00,2023-09-06 00:00:00+00:00,126,5,10.728,53.64,11.5,0,36,comment,file_upload,True,4,,,1,232,True,True,2023Q3,True,-1.0,3
user_0061,True,2023-09-12 00:00:00+00:00,45.0,2023-07-29 00:00:00+00:00,2023-09-02 00:00:00+00:00,35,7,13.241428571428571,92.69,14.0,0,12,calendar_view,comment,True,4,"calendar_view,task_edit","comment,file_upload,task_create,task_edit",2,236,True,True,2023Q3,True,45.0,5
user_0062,False,,,2023-11-21 00:00:00+00:00,2024-02-03 00:00:00+00:00,74,9,18.468888888888888,166.22,11.0,0,4,file_upload,comment,True,6,,,4,82,False,False,2024Q1,False,-1.0,4
user_0063,True,2023-05-29 00:00:00+00:00,44.0,2023-04-15 00:00:00+00:00,2023-07-11 00:00:00+00:00,87,14,24.795714285714286,347.14,9.0,1,1,calendar_view,comment,True,10,"calendar_view,comment,file_upload","calendar_view,comment,file_upload,task_create,task_edit",5,289,True,True,2023Q3,True,44.0,5
user_0064,False,,,2023-02-19 00:00:00+00:00,2023-04-20 00:00:00+00:00,60,13,24.355384615384615,316.62,9.083333333333334,0,8,task_edit,file_upload,True,11,,,4,371,True,True,2023Q2,True,-1.0,4
user_0065,False,,,2023-04-05 00:00:00+00:00,2023-08-27 00:00:00+00:00,144,7,27.731428571428573,194.12,18.0,0,7,comment,calendar_view,True,6,,,3,242,True,True,2023Q3,True,-1.0,4
user_0066,True,2023-11-04 00:00:00+00:00,36.0,2023-09-29 00:00:00+00:00,2023-12-29 00:00:00+00:00,91,9,21.764444444444443,195.88,12.625,0,8,task_create,comment,True,7,"comment,task_create,task_edit","calendar_view,comment,file_upload,task_create",2,118,True,False,2023Q4,True,36.0,5
user_0067,False,,,2023-08-12 00:00:00+00:00,2023-11-02 00:00:00+00:00,82,11,20.293636363636367,223.23000000000002,7.7,1,4,task_create,task_create,True,8,,,3,175,True,True,2023Q4,True,-1.0,5
user_0068,True,2024-01-11 00:00:00+00:00,44.0,2023-11-28 00:00:00+00:00,2023-12-29 00:00:00+00:00,31,10,8.885,88.85,12.666666666666666,1,1,task_create,task_create,True,7,"calendar_view,file_upload,task_create,task_edit","calendar_view,file_upload,task_create",3,118,True,False,2023Q4,True,44.0,4
user_0069,False,,,2023-11-30 00:00:00+00:00,2024-02-15 00:00:00+00:00,77,15,18.490000000000002,277.35,7.142857142857143,0,16,comment,comment,True,10,,,5,70,False,False,2024Q1,False,-1.0,5
user_0070,True,2023-03-20 00:00:00+00:00,32.0,2023-02-16 00:00:00+00:00,2023-06-11 00:00:00+00:00,115,9,12.827777777777778,115.45,12.25,0,10,comment,calendar_view,True,6,"calendar_view,comment","calendar_view,comment,file_upload,task_create,task_edit",3,319,True,True,2023Q2,True,32.0,5
user_0071,False,,,2023-08-20 00:00:00+00:00,2023-12-24 00:00:00+00:00,126,9,12.857777777777777,115.72,12.75,0,1,calendar_view,calendar_view,True,6,,,4,123,True,True,2023Q4,True,-1.0,4
user_0072,True,2023-02-02 00:00:00+00:00,24.0,2023-01-09 00:00:00+00:00,2023-02-10 00:00:00+00:00,32,13,22.18769230769231,288.44,7.5,0,23,calendar_view,calendar_view,True,7,calendar_view,"calendar_view,comment,file_upload,task_create,task_edit",4,440,True,True,2023Q1,True,24.0,5
user_0073,False,,,2023-03-18 00:00:00+00:00,2023-06-05 00:00:00+00:00,79,6,10.788333333333334,64.73,18.4,0,5,comment,calendar_view,True,4,,,1,325,True,True,2023Q2,True,-1.0,5
user_0074,True,2023-05-21 00:00:00+00:00,48.0,2023-04-03 00:00:00+00:00,2023-06-19 00:00:00+00:00,77,5,20.836,104.17999999999999,21.25,0,15,task_create,task_create,True,3,"calendar_view,task_create","task_create,task_edit",1,311,True,True,2023Q2,True,48.0,3
user_0075,False,,,2023-08-31 00:00:00+00:00,2024-01-22 00:00:00+00:00,144,9,18.61,167.49,11.625,0,2,file_upload,file_upload,True,5,,,3,94,True,False,2024Q1,True,-1.0,4
user_0076,False,,,2023-06-22 00:00:00+00:00,2023-08-15 00:00:00+00:00,54,11,10.32,113.52,11.9,0,1,calendar_view,file_upload,True,8,,,4,254,True,True,2023Q3,True,-1.0,5
user_0077,True,2023-08-12 00:00:00+00:00,55.0,2023-06-18 00:00:00+00:00,2023-08-09 00:00:00+00:00,52,10,33.148,331.48,11.11111111111111,1,18,task_create,calendar_view,True,4,"comment,task_create","calendar_view,file_upload,task_edit",2,260,True,True,2023Q3,True,55.0,5
user_0078,False,,,2023-01-29 00:00:00+00:00,2023-05-21 00:00:00+00:00,112,11,16.677272727272726,183.45,10.0,0,19,calendar_view,task_edit,True,7,,,4,340,True,True,2023Q2,True,-1.0,5
user_0079,False,,,2023-08-14 00:00:00+00:00,2023-09-15 00:00:00+00:00,32,6,54.655,327.93,13.2,0,33,calendar_view,comment,True,4,,,2,223,True,True,2023Q3,True,-1.0,4
user_0080,False,,,2023-09-29 00:00:00+00:00,2024-02-12 00:00:00+00:00,136,7,14.562857142857142,101.94,15.5,0,8,comment,comment,True,6,,,1,73,False,False,2024Q1,False,-1.0,4
user_0081,False,,,2023-10-13 00:00:00+00:00,2024-01-23 00:00:00+00:00,102,13,21.936923076923076,285.18,8.166666666666666,0,0,comment,file_upload,True,12,,,3,93,True,False,2024Q1,True,-1.0,4
user_0082,False,,,2023-05-09 00:00:00+00:00,2023-10-02 00:00:00+00:00,146,4,21.134999999999998,84.53999999999999,22.0,0,14,task_create,comment,True,3,,,1,206,True,True,2023Q4,True,-1.0,3
user_0083,False,,,2023-06-07 00:00:00+00:00,2023-10-26 00:00:00+00:00,141,20,23.7045,474.09,6.315789473684211,2,0,calendar_view,comment,True,12,,,5,182,True,True,2023Q4,True,-1.0,5
user_0084,True,2023-08-16 00:00:00+00:00,54.0,2023-06-23 00:00:00+00:00,2023-08-06 00:00:00+00:00,44,11,25.733636363636364,283.07,10.6,0,14,calendar_view,task_edit,True,6,"calendar_view,comment,file_upload","calendar_view,comment,file_upload,task_create,task_edit",4,263,True,True,2023Q3,True,54.0,5
user_0085,False,,,2023-05-25 00:00:00+00:00,2023-06-26 00:00:00+00:00,32,11,15.407272727272728,169.48000000000002,9.0,0,5,task_edit,file_upload,True,5,,,3,304,True,True,2023Q2,True,-1.0,4
user_0086,False,,,2023-06-05 00:00:00+00:00,2023-08-30 00:00:00+00:00,86,12,21.065,252.78,10.272727272727273,2,5,calendar_view,task_edit,True,6,,,4,239,True,True,2023Q3,True,-1.0,5
user_0087,True,2023-03-26 00:00:00+00:00,21.0,2023-03-05 00:00:00+00:00,2023-05-02 00:00:00+00:00,58,9,15.713333333333331,141.42,12.25,0,7,task_edit,task_edit,True,5,task_edit,"calendar_view,file_upload,task_create,task_edit",4,359,True,True,2023Q2,True,21.0,4
user_0088,True,2023-09-07 00:00:00+00:00,37.0,2023-08-01 00:00:00+00:00,2023-10-27 00:00:00+00:00,87,11,20.794545454545457,228.74,7.6,2,41,calendar_view,file_upload,True,6,,"calendar_view,comment,file_upload,task_create,task_edit",5,181,True,True,2023Q4,True,37.0,5
user_0089,False,,,2023-06-08 00:00:00+00:00,2023-11-05 00:00:00+00:00,150,16,20.321875,325.15,6.333333333333333,1,17,calendar_view,task_create,True,10,,,5,172,True,True,2023Q4,True,-1.0,5
user_0090,False,,,2023-05-08 00:00:00+00:00,2023-07-26 00:00:00+00:00,79,8,22.01,176.08,12.0,0,14,task_edit,file_upload,True,5,,,3,274,True,True,2023Q3,True,-1.0,5
user_0091,False,,,2023-12-19 00:00:00+00:00,2024-04-21 00:00:00+00:00,124,12,25.098333333333333,301.18,7.636363636363637,0,5,calendar_view,task_edit,True,6,,,4,4,False,False,2024Q2,False,-1.0,5
user_0092,False,,,2023-06-19 00:00:00+00:00,2023-10-07 00:00:00+00:00,110,4,12.875,51.5,31.0,0,23,comment,task_create,True,3,,,0,201,True,True,2023Q4,True,-1.0,4
user_0093,False,,,2023-02-18 00:00:00+00:00,2023-04-10 00:00:00+00:00,51,11,25.73909090909091,283.13,10.2,1,4,task_create,calendar_view,True,7,,,4,381,True,True,2023Q2,True,-1.0,5
user_0094,False,,,2023-02-20 00:00:00+00:00,2023-07-10 00:00:00+00:00,140,13,22.39076923076923,291.08,8.583333333333334,0,12,calendar_view,comment,True,9,,,4,290,True,True,2023Q3,True,-1.0,5
user_0095,False,,,2023-05-06 00:00:00+00:00,2023-08-29 00:00:00+00:00,115,16,21.791875,348.67,7.8,1,1,file_upload,calendar_view,True,9,,,5,240,True,True,2023Q3,True,-1.0,5
user_0096,False,,,2023-11-01 00:00:00+00:00,2024-03-28 00:00:00+00:00,148,5,19.224,96.12,7.5,1,48,calendar_view,calendar_view,True,3,,,2,28,False,False,2024Q1,False,-1.0,3
user_0097,True,2023-05-13 00:00:00+00:00,46.0,2023-03-28 00:00:00+00:00,2023-06-15 00:00:00+00:00,79,9,19.0,171.0,13.375,0,13,task_create,comment,True,5,"calendar_view,task_create,task_edit","comment,file_upload,task_create,task_edit",3,315,True,True,2023Q2,True,46.0,5
user_0098,True,2023-10-16 00:00:00+00:00,44.0,2023-09-02 00:00:00+00:00,2023-12-13 00:00:00+00:00,102,11,19.01909090909091,209.21,11.8,0,2,task_edit,file_upload,True,6,"calendar_view,comment,task_edit","comment,file_upload,task_edit",4,134,True,True,2023Q4,True,44.0,4
user_0099,False,,,2023-01-11 00:00:00+00:00,2023-02-11 00:00:00+00:00,31,10,23.437,234.37,10.777777777777779,0,17,task_edit,file_upload,True,2,,,2,439,True,True,2023Q1,True,-1.0,4
user_0100,False,,,2023-05-01 00:00:00+00:00,2023-07-26 00:00:00+00:00,86,12,38.97666666666667,467.72,10.272727272727273,1,5,task_create,file_upload,True,8,,,4,274,True,True,2023Q3,True,-1.0,5
user_0101,False,,,2023-02-21 00:00:00+00:00,2023-07-09 00:00:00+00:00,138,10,14.503,145.03,12.444444444444445,1,6,comment,task_edit,True,8,,,3,291,True,True,2023Q3,True,-1.0,4
user_0102,True,2023-09-16 00:00:00+00:00,58.0,2023-07-20 00:00:00+00:00,2023-11-30 00:00:00+00:00,133,12,19.349166666666665,232.19,10.090909090909092,1,4,task_create,task_create,True,9,"calendar_view,comment,file_upload,task_create,task_edit","task_create,task_edit",4,147,True,True,2023Q4,True,58.0,5
user_0103,False,,,2023-11-07 00:00:00+00:00,2024-01-13 00:00:00+00:00,67,9,26.060000000000002,234.54000000000002,9.875,1,3,file_upload,task_create,True,4,,,3,103,True,False,2024Q1,True,-1.0,5
user_0104,False,,,2023-02-08 00:00:00+00:00,2023-05-05 00:00:00+00:00,86,17,17.618235294117646,299.51,5.5625,4,29,task_create,comment,True,15,,,4,356,True,True,2023Q2,True,-1.0,4
user_0105,True,2024-02-01 00:00:00+00:00,35.0,2023-12-28 00:00:00+00:00,2024-02-11 00:00:00+00:00,45,12,13.921666666666667,167.06,9.454545454545455,1,15,calendar_view,comment,True,5,"calendar_view,file_upload,task_edit","comment,task_create,task_edit",4,74,False,False,2024Q1,False,35.0,5
user_0106,True,2023-05-16 00:00:00+00:00,19.0,2023-04-27 00:00:00+00:00,2023-08-08 00:00:00+00:00,103,7,9.935714285714285,69.55,14.333333333333334,0,2,file_upload,file_upload,True,5,"file_upload,task_edit","comment,file_upload,task_edit",2,261,True,True,2023Q3,True,19.0,3
user_0107,True,2024-01-22 00:00:00+00:00,60.0,2023-11-23 00:00:00+00:00,2023-12-31 00:00:00+00:00,38,8,21.25625,170.05,16.285714285714285,0,5,calendar_view,task_edit,True,6,"calendar_view,comment","comment,task_create,task_edit",2,116,True,False,2023Q4,True,60.0,4
user_0108,True,2023-11-27 00:00:00+00:00,18.0,2023-11-09 00:00:00+00:00,2024-02-15 00:00:00+00:00,98,7,19.164285714285715,134.15,14.5,0,15,task_create,task_create,True,6,task_create,"file_upload,task_create,task_edit",1,70,False,False,2024Q1,False,18.0,3
user_0109,False,,,2023-07-05 00:00:00+00:00,2023-11-10 00:00:00+00:00,128,12,11.493333333333332,137.92,8.0,2,22,task_create,comment,True,10,,,4,167,True,True,2023Q4,True,-1.0,4
user_0110,False,,,2023-06-27 00:00:00+00:00,2023-08-07 00:00:00+00:00,41,7,15.904285714285715,111.33,9.333333333333334,1,22,comment,comment,True,4,,,2,262,True,True,2023Q3,True,-1.0,4
user_0111,True,2023-12-28 00:00:00+00:00,7.0,2023-12-21 00:00:00+00:00,2024-01-23 00:00:00+00:00,33,13,24.882307692307695,323.47,7.416666666666667,0,18,comment,calendar_view,True,9,,"calendar_view,comment,task_create,task_edit",4,93,True,False,2024Q1,True,7.0,4
